# Sample logs demonstrating high-severity incidents that trigger notifications
# These logs simulate a critical system outage scenario with multiple ERROR-level events
# Expected behavior: LLMGovernanceAgent should classify as HIGH or CRITICAL risk
# Expected outcome: NotificationAgent should send alerts via configured channels
2025-11-17 10:01:03 ERROR Database connection timeout after 30 seconds
2025-11-17 10:02:15 ERROR Database connection pool exhausted - max connections reached
2025-11-17 10:02:47 WARNING Memory threshold exceeded - 85% utilization
2025-11-17 10:03:22 ERROR Failed to execute query: connection lost to primary database
2025-11-17 10:04:01 ERROR Authentication service unreachable - timeout after 10 seconds
2025-11-17 10:05:12 INFO System startup complete
2025-11-17 10:06:45 ERROR Critical: Payment processing service down - transactions failing
2025-11-17 10:07:33 ERROR Failed to write to disk: /var/log/app.log - disk full
2025-11-17 10:08:19 ERROR API gateway returning 503 - service unavailable
2025-11-17 10:09:15 WARNING CPU usage at 85% - approaching critical threshold
2025-11-17 10:10:02 ERROR Cache cluster connection failed - Redis timeout
2025-11-17 10:11:30 ERROR Message queue overflow - 10000+ messages pending
2025-11-17 10:12:01 INFO Request processed successfully
2025-11-17 10:13:45 WARNING Disk space low on /var partition - 90% full
2025-11-17 10:14:22 ERROR Load balancer health check failed for 3 backend servers
# Summary: 10 ERROR events, 3 WARNING events
# This volume and severity should trigger HIGH or CRITICAL risk classification
# With USE_REAL_OPENAI=true, the LLM will analyze these logs and determine appropriate risk level
# With USE_REAL_OPENAI=false (mock mode), the system uses fallback risk assessment
2025-11-02T06:00:00Z | database | high | Automated alert - database: timeout errors
2025-11-02T07:00:00Z | database | medium | database alert: permission denied (severity=MEDIUM)
2025-11-02T08:00:00Z | auth | high | auth incident reported: query timeouts
2025-11-02T09:00:00Z | general | high | Automated alert - general: resource exhaustion
2025-11-02T10:00:00Z | application | high | Detected application issue affecting subsystem. symptom: failed backups
2025-11-02T11:00:00Z | auth | critical | Detected auth issue affecting subsystem. symptom: timeout errors
2025-11-02T12:00:00Z | disk | medium | Automated alert - disk: permission denied
2025-11-02T13:00:00Z | disk | high | Automated alert - disk: connection resets
2025-11-02T14:00:00Z | network | low | Detected network issue affecting subsystem. symptom: connection resets
2025-11-02T15:00:00Z | application | medium | application alert: query timeouts (severity=MEDIUM)
2025-11-02T16:00:00Z | general | low | Automated alert - general: connection resets
2025-11-02T17:00:00Z | database | medium | Detected database issue affecting subsystem. symptom: high latency
2025-11-02T18:00:00Z | application | critical | Automated alert - application: timeout errors
2025-11-02T19:00:00Z | database | high | Detected database issue affecting subsystem. symptom: timeout errors
2025-11-02T20:00:00Z | general | critical | Automated alert - general: permission denied
2025-11-02T21:00:00Z | general | high | general incident reported: resource exhaustion
2025-11-02T22:00:00Z | database | high | database incident reported: query timeouts
2025-11-02T23:00:00Z | network | low | network incident reported: authentication failures
2025-11-03T00:00:00Z | database | high | Detected database issue affecting subsystem. symptom: timeout errors
2025-11-03T01:00:00Z | general | high | general incident reported: query timeouts
2025-11-03T02:00:00Z | application | low | application alert: authentication failures (severity=LOW)
2025-11-03T03:00:00Z | application | high | application alert: permission denied (severity=HIGH)
2025-11-03T04:00:00Z | security | high | security alert: connection resets (severity=HIGH)
2025-11-03T05:00:00Z | application | medium | application incident reported: query timeouts
2025-11-03T06:00:00Z | disk | high | disk alert: timeout errors (severity=HIGH)
2025-11-03T07:00:00Z | disk | critical | disk incident reported: query timeouts
2025-11-03T08:00:00Z | database | critical | Automated alert - database: resource exhaustion
2025-11-03T09:00:00Z | application | medium | Detected application issue affecting subsystem. symptom: connection resets
2025-11-03T10:00:00Z | security | medium | security incident reported: permission denied
2025-11-03T11:00:00Z | database | medium | Detected database issue affecting subsystem. symptom: resource exhaustion
2025-11-03T12:00:00Z | general | medium | general alert: authentication failures (severity=MEDIUM)
2025-11-03T13:00:00Z | network | medium | network alert: timeout errors (severity=MEDIUM)
2025-11-03T14:00:00Z | network | medium | network alert: failed backups (severity=MEDIUM)
2025-11-03T15:00:00Z | security | medium | Detected security issue affecting subsystem. symptom: failed backups
2025-11-03T16:00:00Z | general | low | general incident reported: authentication failures
2025-11-03T17:00:00Z | auth | critical | Detected auth issue affecting subsystem. symptom: high latency
2025-11-03T18:00:00Z | auth | low | Automated alert - auth: connection resets
2025-11-03T19:00:00Z | database | medium | Detected database issue affecting subsystem. symptom: high latency
2025-11-03T20:00:00Z | auth | high | auth incident reported: query timeouts
2025-11-03T21:00:00Z | security | medium | Detected security issue affecting subsystem. symptom: connection resets
2025-11-03T22:00:00Z | database | critical | database alert: permission denied (severity=CRITICAL)
2025-11-03T23:00:00Z | general | medium | general incident reported: authentication failures
2025-11-04T00:00:00Z | application | high | application alert: high latency (severity=HIGH)
2025-11-04T01:00:00Z | general | low | general incident reported: resource exhaustion
2025-11-04T02:00:00Z | disk | high | Automated alert - disk: resource exhaustion
2025-11-04T03:00:00Z | disk | critical | Detected disk issue affecting subsystem. symptom: high latency
2025-11-04T04:00:00Z | application | critical | application alert: authentication failures (severity=CRITICAL)
2025-11-04T05:00:00Z | disk | high | disk incident reported: authentication failures
2025-11-04T06:00:00Z | auth | medium | auth incident reported: failed backups
2025-11-04T07:00:00Z | database | high | Automated alert - database: authentication failures
2025-11-04T08:00:00Z | network | high | network alert: failed backups (severity=HIGH)
2025-11-04T09:00:00Z | security | high | security alert: permission denied (severity=HIGH)
2025-11-04T10:00:00Z | application | critical | application incident reported: timeout errors
2025-11-04T11:00:00Z | database | medium | database incident reported: authentication failures
2025-11-04T12:00:00Z | network | high | network incident reported: resource exhaustion
2025-11-04T13:00:00Z | auth | medium | auth incident reported: resource exhaustion
2025-11-04T14:00:00Z | application | high | application alert: authentication failures (severity=HIGH)
2025-11-04T15:00:00Z | auth | high | Automated alert - auth: timeout errors
2025-11-04T16:00:00Z | network | high | Detected network issue affecting subsystem. symptom: query timeouts
2025-11-04T17:00:00Z | network | low | network incident reported: connection resets
2025-11-04T18:00:00Z | database | medium | database incident reported: resource exhaustion
2025-11-04T19:00:00Z | general | medium | general incident reported: authentication failures
2025-11-04T20:00:00Z | network | high | network alert: timeout errors (severity=HIGH)
2025-11-04T21:00:00Z | general | critical | general alert: failed backups (severity=CRITICAL)
2025-11-04T22:00:00Z | disk | medium | disk incident reported: failed backups
2025-11-04T23:00:00Z | auth | high | auth incident reported: timeout errors
2025-11-05T00:00:00Z | application | low | application incident reported: resource exhaustion
2025-11-05T01:00:00Z | disk | high | Detected disk issue affecting subsystem. symptom: connection resets
2025-11-05T02:00:00Z | auth | low | Automated alert - auth: failed backups
2025-11-05T03:00:00Z | general | medium | general incident reported: authentication failures
2025-11-05T04:00:00Z | general | medium | Automated alert - general: permission denied
2025-11-05T05:00:00Z | security | critical | Automated alert - security: query timeouts
2025-11-05T06:00:00Z | auth | high | auth alert: timeout errors (severity=HIGH)
2025-11-05T07:00:00Z | database | critical | database alert: failed backups (severity=CRITICAL)
2025-11-05T08:00:00Z | network | high | Detected network issue affecting subsystem. symptom: timeout errors
2025-11-05T09:00:00Z | disk | high | disk incident reported: query timeouts
2025-11-05T10:00:00Z | database | critical | Detected database issue affecting subsystem. symptom: query timeouts
2025-11-05T11:00:00Z | general | high | Automated alert - general: connection resets
2025-11-05T12:00:00Z | application | low | Automated alert - application: timeout errors
2025-11-05T13:00:00Z | disk | medium | disk alert: failed backups (severity=MEDIUM)
2025-11-05T14:00:00Z | network | high | network alert: failed backups (severity=HIGH)
2025-11-05T15:00:00Z | network | critical | Detected network issue affecting subsystem. symptom: connection resets
2025-11-05T16:00:00Z | auth | medium | auth incident reported: high latency
2025-11-05T17:00:00Z | auth | critical | auth alert: resource exhaustion (severity=CRITICAL)
2025-11-05T18:00:00Z | network | critical | network incident reported: high latency
2025-11-05T19:00:00Z | general | critical | Automated alert - general: connection resets
2025-11-05T20:00:00Z | general | critical | general incident reported: query timeouts
2025-11-05T21:00:00Z | application | high | application alert: permission denied (severity=HIGH)
2025-11-05T22:00:00Z | network | high | network alert: authentication failures (severity=HIGH)
2025-11-05T23:00:00Z | network | high | network alert: high latency (severity=HIGH)
2025-11-06T00:00:00Z | security | high | security alert: high latency (severity=HIGH)
2025-11-06T01:00:00Z | database | high | database incident reported: failed backups
2025-11-06T02:00:00Z | application | high | application incident reported: query timeouts
2025-11-06T03:00:00Z | application | high | application alert: authentication failures (severity=HIGH)
