# Sample logs demonstrating high-severity incidents that trigger notifications
# These logs simulate a critical system outage scenario with multiple ERROR-level events
# Expected behavior: LLMGovernanceAgent should classify as HIGH or CRITICAL risk
# Expected outcome: NotificationAgent should send alerts via configured channels
2025-11-17 10:01:03 ERROR Database connection timeout after 30 seconds
2025-11-17 10:02:15 ERROR Database connection pool exhausted - max connections reached
2025-11-17 10:02:47 WARNING Memory threshold exceeded - 85% utilization
2025-11-17 10:03:22 ERROR Failed to execute query: connection lost to primary database
2025-11-17 10:04:01 ERROR Authentication service unreachable - timeout after 10 seconds
2025-11-17 10:05:12 INFO System startup complete
2025-11-17 10:06:45 ERROR Critical: Payment processing service down - transactions failing
2025-11-17 10:07:33 ERROR Failed to write to disk: /var/log/app.log - disk full
2025-11-17 10:08:19 ERROR API gateway returning 503 - service unavailable
2025-11-17 10:09:15 WARNING CPU usage at 85% - approaching critical threshold
2025-11-17 10:10:02 ERROR Cache cluster connection failed - Redis timeout
2025-11-17 10:11:30 ERROR Message queue overflow - 10000+ messages pending
2025-11-17 10:12:01 INFO Request processed successfully
2025-11-17 10:13:45 WARNING Disk space low on /var partition - 90% full
2025-11-17 10:14:22 ERROR Load balancer health check failed for 3 backend servers
# Summary: 10 ERROR events, 3 WARNING events
# This volume and severity should trigger HIGH or CRITICAL risk classification
# With USE_REAL_OPENAI=true, the LLM will analyze these logs and determine appropriate risk level
# With USE_REAL_OPENAI=false (mock mode), the system uses fallback risk assessment
2025-11-01T10:00:00Z | disk | high | Automated alert - disk: authentication failures
2025-11-01T11:00:00Z | network | critical | network alert: permission denied (severity=CRITICAL)
2025-11-01T12:00:00Z | disk | high | Automated alert - disk: timeout errors
2025-11-01T13:00:00Z | network | high | Detected network issue affecting subsystem. symptom: authentication failures
2025-11-01T14:00:00Z | application | high | application incident reported: timeout errors
2025-11-01T15:00:00Z | database | high | Detected database issue affecting subsystem. symptom: connection resets
2025-11-01T16:00:00Z | general | high | Detected general issue affecting subsystem. symptom: authentication failures
2025-11-01T17:00:00Z | disk | medium | disk alert: high latency (severity=MEDIUM)
2025-11-01T18:00:00Z | general | critical | general incident reported: timeout errors
2025-11-01T19:00:00Z | security | medium | security alert: failed backups (severity=MEDIUM)
2025-11-01T20:00:00Z | general | medium | general incident reported: resource exhaustion
2025-11-01T21:00:00Z | security | medium | security incident reported: timeout errors
2025-11-01T22:00:00Z | database | high | database alert: connection resets (severity=HIGH)
2025-11-01T23:00:00Z | auth | critical | auth incident reported: permission denied
2025-11-02T00:00:00Z | application | medium | Automated alert - application: permission denied
2025-11-02T01:00:00Z | disk | critical | disk incident reported: authentication failures
2025-11-02T02:00:00Z | application | low | Detected application issue affecting subsystem. symptom: timeout errors
2025-11-02T03:00:00Z | general | medium | general incident reported: resource exhaustion
2025-11-02T04:00:00Z | database | high | Detected database issue affecting subsystem. symptom: failed backups
2025-11-02T05:00:00Z | network | high | network alert: timeout errors (severity=HIGH)
2025-11-02T06:00:00Z | database | high | database alert: connection resets (severity=HIGH)
